antecedents,operator,consequent,result
vento_traves==forte_direita,AND,comando_leme,esquerda_total
vento_traves==moderado_direita,AND,comando_leme,esquerda_parcial
vento_traves==nulo,AND,comando_leme,neutro
vento_traves==moderado_esquerda,AND,comando_leme,direita_parcial
vento_traves==forte_esquerda,AND,comando_leme,direita_total
vento_traves==forte_direita|altitude==muito_baixa,AND,comando_leme,esquerda_total
vento_traves==forte_esquerda|altitude==muito_baixa,AND,comando_leme,direita_total
altitude==ideal_para_flare|vento_traves==moderado_direita,AND,comando_leme,esquerda_parcial
altitude==ideal_para_flare|vento_traves==moderado_esquerda,AND,comando_leme,direita_parcial
altitude==muito_baixa|vento_traves==moderado_direita,AND,comando_leme,esquerda_parcial
altitude==muito_baixa|vento_traves==moderado_esquerda,AND,comando_leme,direita_parcial
